"","ds","TikTok","Facebook","Google_Ads","type","solID"
"1",2018-01-07,13528.1,0,0,"rawMedia","5_86_3"
"2",2018-01-14,0,5349.65,2218.93,"rawMedia","5_86_3"
"3",2018-01-21,0,4235.86,2046.96,"rawMedia","5_86_3"
"4",2018-01-28,0,3562.21,0,"rawMedia","5_86_3"
"5",2018-02-04,0,0,2187.29,"rawMedia","5_86_3"
"6",2018-02-11,8045.44,4310.55,1992.98,"rawMedia","5_86_3"
"7",2018-02-18,0,0,2253.02,"rawMedia","5_86_3"
"8",2018-02-25,9697.29,4478.81,2042.3,"rawMedia","5_86_3"
"9",2018-03-04,0,3156.93,1859.02,"rawMedia","5_86_3"
"10",2018-03-11,0,4522.03,2135.99,"rawMedia","5_86_3"
"11",2018-03-18,0,4520.34,0,"rawMedia","5_86_3"
"12",2018-03-25,0,0,0,"rawMedia","5_86_3"
"13",2018-04-01,11522.08,5698.46,0,"rawMedia","5_86_3"
"14",2018-04-08,10243.35,0,0,"rawMedia","5_86_3"
"15",2018-04-15,0,0,1839.37,"rawMedia","5_86_3"
"16",2018-04-22,10667.35,0,1907.13,"rawMedia","5_86_3"
"17",2018-04-29,0,0,2204.36,"rawMedia","5_86_3"
"18",2018-05-06,9589.68,5160.93,1889.49,"rawMedia","5_86_3"
"19",2018-05-13,10626.14,0,1922.63,"rawMedia","5_86_3"
"20",2018-05-20,8291.81,4605.15,1897.94,"rawMedia","5_86_3"
"21",2018-05-27,0,0,2036.79,"rawMedia","5_86_3"
"22",2018-06-03,11307.24,0,1922.9,"rawMedia","5_86_3"
"23",2018-06-10,0,0,1679.63,"rawMedia","5_86_3"
"24",2018-06-17,8515.67,4006.88,0,"rawMedia","5_86_3"
"25",2018-06-24,0,0,0,"rawMedia","5_86_3"
"26",2018-07-01,0,0,0,"rawMedia","5_86_3"
"27",2018-07-08,0,5049.49,2162.53,"rawMedia","5_86_3"
"28",2018-07-15,0,0,2117.45,"rawMedia","5_86_3"
"29",2018-07-22,13065.56,5643.31,1898.93,"rawMedia","5_86_3"
"30",2018-07-29,0,3429.38,0,"rawMedia","5_86_3"
"31",2018-08-05,0,4793.1,1898.5,"rawMedia","5_86_3"
"32",2018-08-12,0,5880.18,0,"rawMedia","5_86_3"
"33",2018-08-19,0,0,2499.44,"rawMedia","5_86_3"
"34",2018-08-26,0,5387.28,0,"rawMedia","5_86_3"
"35",2018-09-02,9304.18,2744.44,0,"rawMedia","5_86_3"
"36",2018-09-09,0,3977.49,1743.09,"rawMedia","5_86_3"
"37",2018-09-16,0,0,1979.13,"rawMedia","5_86_3"
"38",2018-09-23,0,3343.28,1802.4,"rawMedia","5_86_3"
"39",2018-09-30,0,0,1764.47,"rawMedia","5_86_3"
"40",2018-10-07,9395.39,0,1771.96,"rawMedia","5_86_3"
"41",2018-10-14,7902.89,0,2351,"rawMedia","5_86_3"
"42",2018-10-21,7159.96,0,1973.4,"rawMedia","5_86_3"
"43",2018-10-28,6587.46,5567.29,0,"rawMedia","5_86_3"
"44",2018-11-04,13901.55,0,0,"rawMedia","5_86_3"
"45",2018-11-11,0,0,0,"rawMedia","5_86_3"
"46",2018-11-18,0,0,2144.01,"rawMedia","5_86_3"
"47",2018-11-25,0,4708.16,0,"rawMedia","5_86_3"
"48",2018-12-02,0,4238.51,2060.72,"rawMedia","5_86_3"
"49",2018-12-09,0,5857.92,2154.54,"rawMedia","5_86_3"
"50",2018-12-16,0,0,1667.68,"rawMedia","5_86_3"
"51",2018-12-23,8209.07,6466.58,2089.64,"rawMedia","5_86_3"
"52",2018-12-30,0,5852.55,2339.24,"rawMedia","5_86_3"
"53",2019-01-06,8978.39,4401.35,1997.03,"rawMedia","5_86_3"
"54",2019-01-13,0,0,2164.28,"rawMedia","5_86_3"
"55",2019-01-20,0,0,2134.11,"rawMedia","5_86_3"
"56",2019-01-27,0,0,1858.5,"rawMedia","5_86_3"
"57",2019-02-03,0,3231.46,2007.95,"rawMedia","5_86_3"
"58",2019-02-10,0,0,1686.6,"rawMedia","5_86_3"
"59",2019-02-17,0,0,1909.74,"rawMedia","5_86_3"
"60",2019-02-24,0,0,2053.14,"rawMedia","5_86_3"
"61",2019-03-03,8655.08,4814.95,2144.62,"rawMedia","5_86_3"
"62",2019-03-10,9280.89,4192.35,2004.92,"rawMedia","5_86_3"
"63",2019-03-17,0,0,2144,"rawMedia","5_86_3"
"64",2019-03-24,0,0,1779.42,"rawMedia","5_86_3"
"65",2019-03-31,0,4690.89,0,"rawMedia","5_86_3"
"66",2019-04-07,0,4766.53,2003.86,"rawMedia","5_86_3"
"67",2019-04-14,0,0,0,"rawMedia","5_86_3"
"68",2019-04-21,0,0,1957.17,"rawMedia","5_86_3"
"69",2019-04-28,0,0,1900.2,"rawMedia","5_86_3"
"70",2019-05-05,0,0,2004.27,"rawMedia","5_86_3"
"71",2019-05-12,0,0,0,"rawMedia","5_86_3"
"72",2019-05-19,0,0,2038.55,"rawMedia","5_86_3"
"73",2019-05-26,0,5929.51,1926.99,"rawMedia","5_86_3"
"74",2019-06-02,7530.35,0,1641.73,"rawMedia","5_86_3"
"75",2019-06-09,0,2905.4,1988.28,"rawMedia","5_86_3"
"76",2019-06-16,0,0,0,"rawMedia","5_86_3"
"77",2019-06-23,8258.41,4869.89,1673.52,"rawMedia","5_86_3"
"78",2019-06-30,8842.3,5093.95,1986.57,"rawMedia","5_86_3"
"79",2019-07-07,0,0,2297.87,"rawMedia","5_86_3"
"80",2019-07-14,0,0,2104.26,"rawMedia","5_86_3"
"81",2019-07-21,0,0,2122.39,"rawMedia","5_86_3"
"82",2019-07-28,0,0,0,"rawMedia","5_86_3"
"83",2019-08-04,0,0,2095.38,"rawMedia","5_86_3"
"84",2019-08-11,0,3583.09,2029.69,"rawMedia","5_86_3"
"85",2019-08-18,0,0,2105.81,"rawMedia","5_86_3"
"86",2019-08-25,0,0,2084.53,"rawMedia","5_86_3"
"87",2019-09-01,12357.56,4028.9,0,"rawMedia","5_86_3"
"88",2019-09-08,0,5314.82,0,"rawMedia","5_86_3"
"89",2019-09-15,0,5821.59,0,"rawMedia","5_86_3"
"90",2019-09-22,0,0,1989.98,"rawMedia","5_86_3"
"91",2019-09-29,0,5800.56,0,"rawMedia","5_86_3"
"92",2019-10-06,12444.89,5078.26,2262.49,"rawMedia","5_86_3"
"93",2019-10-13,0,0,1828.21,"rawMedia","5_86_3"
"94",2019-10-20,0,3840.58,1820.21,"rawMedia","5_86_3"
"95",2019-10-27,0,0,2014.92,"rawMedia","5_86_3"
"96",2019-11-03,0,5194.29,1784.58,"rawMedia","5_86_3"
"97",2019-11-10,0,0,1915.07,"rawMedia","5_86_3"
"98",2019-11-17,0,0,1834.01,"rawMedia","5_86_3"
"99",2019-11-24,0,0,2282.23,"rawMedia","5_86_3"
"100",2019-12-01,0,0,2157.16,"rawMedia","5_86_3"
"101",2019-12-08,0,4217.37,0,"rawMedia","5_86_3"
"102",2019-12-15,7304.48,4889.61,1921.76,"rawMedia","5_86_3"
"103",2019-12-22,0,0,2188.18,"rawMedia","5_86_3"
"104",2019-12-29,11938.79,0,2081.04,"rawMedia","5_86_3"
"105",2020-01-05,0,0,2099.61,"rawMedia","5_86_3"
"106",2020-01-12,0,0,1994.76,"rawMedia","5_86_3"
"107",2020-01-19,9172.76,0,1662.35,"rawMedia","5_86_3"
"108",2020-01-26,0,7021.04,0,"rawMedia","5_86_3"
"109",2020-02-02,13845.88,0,1893.5,"rawMedia","5_86_3"
"110",2020-02-09,0,2798.56,2129.01,"rawMedia","5_86_3"
"111",2020-02-16,13735.12,5199.3,2202.37,"rawMedia","5_86_3"
"112",2020-02-23,0,0,1868.41,"rawMedia","5_86_3"
"113",2020-03-01,0,4482.48,2093.68,"rawMedia","5_86_3"
"114",2020-03-08,0,0,0,"rawMedia","5_86_3"
"115",2020-03-15,9463.99,4560.81,0,"rawMedia","5_86_3"
"116",2020-03-22,0,5181.34,2336.38,"rawMedia","5_86_3"
"117",2020-03-29,0,4497.18,1829.48,"rawMedia","5_86_3"
"118",2020-04-05,0,0,0,"rawMedia","5_86_3"
"119",2020-04-12,11228.16,4039.5,1997.77,"rawMedia","5_86_3"
"120",2020-04-19,11844.41,0,2002.3,"rawMedia","5_86_3"
"121",2020-04-26,0,0,0,"rawMedia","5_86_3"
"122",2020-05-03,0,5251.48,1881.76,"rawMedia","5_86_3"
"123",2020-05-10,10596.48,0,0,"rawMedia","5_86_3"
"124",2020-05-17,0,0,2065.39,"rawMedia","5_86_3"
"125",2020-05-24,8610.86,0,2066.01,"rawMedia","5_86_3"
"126",2020-05-31,0,4290.27,2445.19,"rawMedia","5_86_3"
"127",2020-06-07,9129.69,0,2274.2,"rawMedia","5_86_3"
"128",2020-06-14,13698.53,5994.39,0,"rawMedia","5_86_3"
"129",2020-06-21,11344.59,6319.14,2064.97,"rawMedia","5_86_3"
"130",2020-06-28,0,0,2199.42,"rawMedia","5_86_3"
"131",2020-07-05,0,0,0,"rawMedia","5_86_3"
