"","Date","TikTok","Facebook","Google_Ads","Sales"
"1",2018-01-07,13528.1,0,0,9779.8
"2",2018-01-14,0,5349.65,2218.93,13245.19
"3",2018-01-21,0,4235.86,2046.96,12022.66
"4",2018-01-28,0,3562.21,0,8846.95
"5",2018-02-04,0,0,2187.29,9797.07
"6",2018-02-11,8045.44,4310.55,1992.98,13527.65
"7",2018-02-18,0,0,2253.02,9635.43
"8",2018-02-25,9697.29,4478.81,2042.3,15355.11
"9",2018-03-04,0,3156.93,1859.02,12199.37
"10",2018-03-11,0,4522.03,2135.99,11368.23
"11",2018-03-18,0,4520.34,0,8640.44
"12",2018-03-25,0,0,0,4960.26
"13",2018-04-01,11522.08,5698.46,0,12726.46
"14",2018-04-08,10243.35,0,0,11421.71
"15",2018-04-15,0,0,1839.37,10875.31
"16",2018-04-22,10667.35,0,1907.13,13048.08
"17",2018-04-29,0,0,2204.36,10775.86
"18",2018-05-06,9589.68,5160.93,1889.49,15013.62
"19",2018-05-13,10626.14,0,1922.63,14158.32
"20",2018-05-20,8291.81,4605.15,1897.94,15918.14
"21",2018-05-27,0,0,2036.79,11128.75
"22",2018-06-03,11307.24,0,1922.9,12170.36
"23",2018-06-10,0,0,1679.63,10134.7
"24",2018-06-17,8515.67,4006.88,0,11093.55
"25",2018-06-24,0,0,0,8170.63
"26",2018-07-01,0,0,0,6542.71
"27",2018-07-08,0,5049.49,2162.53,11325.8
"28",2018-07-15,0,0,2117.45,7793.24
"29",2018-07-22,13065.56,5643.31,1898.93,15010.94
"30",2018-07-29,0,3429.38,0,10634.31
"31",2018-08-05,0,4793.1,1898.5,11751.39
"32",2018-08-12,0,5880.18,0,9151.2
"33",2018-08-19,0,0,2499.44,9141.46
"34",2018-08-26,0,5387.28,0,7399.92
"35",2018-09-02,9304.18,2744.44,0,10893.16
"36",2018-09-09,0,3977.49,1743.09,11550.47
"37",2018-09-16,0,0,1979.13,8672.09
"38",2018-09-23,0,3343.28,1802.4,9427.22
"39",2018-09-30,0,0,1764.47,8036.91
"40",2018-10-07,9395.39,0,1771.96,11240.58
"41",2018-10-14,7902.89,0,2351,12386.83
"42",2018-10-21,7159.96,0,1973.4,12513.84
"43",2018-10-28,6587.46,5567.29,0,12235.08
"44",2018-11-04,13901.55,0,0,11895.78
"45",2018-11-11,0,0,0,10047.41
"46",2018-11-18,0,0,2144.01,9705.39
"47",2018-11-25,0,4708.16,0,8847.19
"48",2018-12-02,0,4238.51,2060.72,10379.07
"49",2018-12-09,0,5857.92,2154.54,11312.48
"50",2018-12-16,0,0,1667.68,8226.23
"51",2018-12-23,8209.07,6466.58,2089.64,13966.11
"52",2018-12-30,0,5852.55,2339.24,13460.32
"53",2019-01-06,8978.39,4401.35,1997.03,15742.61
